Id,Label,name,friendsCount,followersCount
1238430000000000000,Namingfy,FindingHotel.com,942,446
1533110000000000000,DNDetector,DNDetector,996,964
1597270000000000000,bernice92301254,Bernice,1589,78
1611180000000000000,Marguer26476897,Marguerite Browne,275,64
1578380000000000000,leah57evans57,Leah,2725,255
1630370000000000000,katy_samb,Maureen Tanjung,794,44
1586700000000000000,dickinsonrosa84,Rosa,2280,204
1600560000000000000,SandraB43913130,Sandra Bush,918,143
1547980000000000000,francis_ann85,Ann,3072,194
1567960000000000000,florence_ahmad_,Florence,2433,85
1579200000000000000,mutter54pamela,Pamela,2993,132
1550790000000000000,debra17garrett,Debra,3090,209
1593970000000000000,iamalessandroo,Aj,2283,1568
1572520000000000000,rhondacaporicci,Rhonda,3027,131
75742264,tveitdal,Svein Tveitdal,203095,340969
1451110000000000000,JabburrTickets,Jabburr Event Ticketing,4880,4599
1559460000000000000,VinylBodyArt,Vinyl Body Art,98,7090
106876700,manojananda,Manoj Anand,1739,26273
1290070000000000000,Veridot_,Veridot,5003,369
35057448,Ravelong,Ravelong,33094,40219
5533382,joshlim,Josh Liminati,5002,3662
1454870000000000000,MangoWeb3,MANGO 🥭,7392,12733
1422410000000000000,Domain_Future,Domain Future,188,843
499711296,LucianoMyers4,清醒的摆烂,1153,1020
499584565,DomEscs,Dominik Escobar,1137,975
1381570000000000000,FrenchVerasian,French-Verasian-Crypto,13366,17043
1282250000000000000,TalentPie,Talent Pie,1384,158
737291202,julia_weikel,Julia Weikel,2339,2631
95693445,DATEV_Literatur,DATEV-Verlagsmedien,10145,11221
62170388,barrygarneruk,Barry Garner,2632,7349
1330990000000000000,blueeyesdomains,Tommy,2511,1199
62209878,domains_stocks,Paresh shah,3340,1503
1251330000000000000,deutschedao,Deutsche DAO,455,343
474442010,michael_venuto,Michael Venuto,6867,54227
1409900000000000000,AmericanDomains,American Domain Names,99,366
1598830000000000000,MoveVirtual,Move Virtual,857,712
18137062,MonteCahn,Monte Cahn,4809,5429
85214274,fmercaldo,Fred Mercaldo,4687,1961
1612690000000000000,Domainers88,Domainers88,1032,79
17855102,DomainBuyer,Domain Buyer RJ,1971,6607
23154125,MomentousRob,Rob Hall,245,346
1607200000000000000,Paceycrypto14,Paceycrypto,3713,987
1519600000000000000,bogatiy_borya,Bogatiy Borya,1387,1588
864379000000000000,f7vsvvggvfu37jd,Anne,2335,375
1547440000000000000,metaverserooms_,Metaverse Rooms,537,186
1613890000000000000,_SVGrandHotel,SVGrandHotel,26,4
2364830209,JustyYisroel,Yisroel Justy,1160,942
177103942,CamdynSteph,Camdyn Steph,1488,1291
761985234,TaryKettle,Tary Kettle,2669,1651
851927000000000000,tofdomains,TOF DOMAINS,2099,1827
1606070000000000000,TruDomainz,True Domains,407,104
4841204447,NameGala,NameGala,1424,537
2243751272,fabienprevots,Fabien Prévots,34750,37397
1030550000000000000,jrasevych,Jason Rasevych,14989,16176
1054890000000000000,audouin_anne,Anne-Raphaëlle Audouin,17640,24078
1558010000000000000,PrestoBizNames,Presto Names,345,69
1476460000000000000,world_wide_web3,WorldWideWeb3,2755,728
3098138310,vikas_apple,Vikas Singla,389,40
1598560000000000000,toolinfor,Toolinfor,4939,769
1471390000000000000,namecex,Gote.eth,1523,286
1083400000000000000,SuperDomain888,Super Business Domains,2143,672
1095860000000000000,eminentdomainer,Eminent Domain Names,1664,1010
1162550000000000000,freeholddomains,Freehold Domains,639,843
1575310000000000000,aliceyo16,alice yo,4973,636
1435560000000000000,benlouie00,Ben louie,67,19
1610790000000000000,JayBrom8,Jay Bromwood,687,143
1554450000000000000,Alex_SEO_Heath,Alex Heath,318,201
1069800000000000000,jean_us_seo,"Jean Hatten SEO, Link Building, PPC Expert.",39866,39248
3364365459,BumblePrint,Bumble Print,12736,11576
43613908,breezez10,Steve A,225,686
6622772,fredkauber,Fred Kauber,2346,1951
695748000000000000,FuturFlo,FuturFlo,20330,37702
1581270000000000000,DomainCrofter,Domain Crofter⚡,315,66
142564377,wadhwahitesh,Hitesh Wadhwa,1205,777
